individual_local_identifier,timestamp,latitude,longitude,ground_speed,height_above_ellipsoid,flight_clust_sm3
D329_014,2023-10-10 10:00:11.000,43.9358896,19.1489901,13.2134564793073,905.1,linear_soaring
D329_014,2023-10-10 10:00:12.000,43.9357867,19.1490469,12.312786537034,906.8,shallow_circular_soaring
D329_014,2023-10-10 10:00:13.000,43.9356899,19.149119,12.2142555294038,908.2,shallow_circular_soaring
D329_014,2023-10-10 10:00:14.000,43.9355943,19.1492013,12.5072497017657,907.6,gliding
D329_014,2023-10-10 10:00:15.000,43.9354909,19.1492772,13.00505804683,906.2,gliding
D329_014,2023-10-10 10:00:16.000,43.935383,19.1493475,13.2528787797254,905.6,gliding
D329_014,2023-10-10 10:00:17.000,43.9352761,19.1494228,13.3285743512572,906.1,gliding
D329_014,2023-10-10 10:00:18.000,43.9351762,19.1495036,12.8552449537681,907.8,gliding
D329_014,2023-10-10 10:00:19.000,43.9350774,19.1495937,13.1432834830814,909.7,gliding
D329_014,2023-10-10 10:00:20.000,43.9349852,19.1496877,12.7186193133624,909.9,gliding
D329_014,2023-10-10 10:00:21.000,43.934891,19.1497841,13.011644572523,909.2,gliding
D329_014,2023-10-10 10:00:22.000,43.9347907,19.1498748,13.3091918021214,908.5,gliding
D329_014,2023-10-10 10:00:23.000,43.9346846,19.1499649,13.8289842932276,908.5,gliding
D329_014,2023-10-10 10:00:24.000,43.9345738,19.1500465,13.9458794002054,908.1,gliding
D329_014,2023-10-10 10:00:25.000,43.9344595,19.1501113,13.7280150442636,907.0,gliding
D329_014,2023-10-10 10:00:26.000,43.9343457,19.150164,13.3391145186083,905.8,gliding
D329_014,2023-10-10 10:00:27.000,43.9342305,19.1502057,13.2377388312934,904.5,gliding
D329_014,2023-10-10 10:00:28.000,43.9341118,19.1502406,13.4914750970111,902.7,gliding
D329_014,2023-10-10 10:00:29.000,43.9339872,19.1502726,14.0898745461565,900.1,gliding
D329_014,2023-10-10 10:00:30.000,43.933859,19.1503101,14.5680539747288,897.5,gliding
D329_014,2023-10-10 10:00:31.000,43.9337351,19.1503667,14.5034351860758,896.3,gliding
D329_014,2023-10-10 10:00:32.000,43.9336222,19.1504485,14.1600448398276,895.6,gliding
D329_014,2023-10-10 10:00:33.000,43.9335178,19.1505488,14.1163515994319,894.8,gliding
D329_014,2023-10-10 10:00:34.000,43.9334171,19.15066,14.3063348273542,893.7,gliding
D329_014,2023-10-10 10:00:35.000,43.9333212,19.150785,14.625483347468,892.2,gliding
D329_014,2023-10-10 10:00:36.000,43.933238,19.1509239,14.467315450089,891.3,gliding
D329_014,2023-10-10 10:00:37.000,43.933171,19.1510731,14.0799947426428,891.1,gliding
D329_014,2023-10-10 10:00:38.000,43.9331189,19.15122,13.1125086738558,892.8,gliding
D329_014,2023-10-10 10:00:39.000,43.9330865,19.1513658,12.2184768957253,893.3,gliding
D329_014,2023-10-10 10:00:40.000,43.9330627,19.1515169,12.3857042888724,891.9,gliding
D329_014,2023-10-10 10:00:41.000,43.9330074,19.1516525,12.4786971231283,889.8,gliding
D329_014,2023-10-10 10:00:42.000,43.9329184,19.1517612,13.1797116596435,886.7,gliding
D329_014,2023-10-10 10:00:43.000,43.9328177,19.1518706,14.2171226242517,882.6,gliding
D329_014,2023-10-10 10:00:44.000,43.9327097,19.1519896,15.3304992589307,879.2,gliding
D329_014,2023-10-10 10:00:45.000,43.9325901,19.1520899,15.5361359171912,877.2,gliding
D329_014,2023-10-10 10:00:46.000,43.9324626,19.1521729,15.6580189347453,875.6,gliding
D329_014,2023-10-10 10:00:47.000,43.9323293,19.1522481,15.9988681390052,874.1,gliding
D329_014,2023-10-10 10:00:48.000,43.9321962,19.1523307,16.2108982058337,872.6,gliding
D329_014,2023-10-10 10:00:49.000,43.932065,19.1524186,16.1981210332797,871.2,gliding
D329_014,2023-10-10 10:00:50.000,43.9319357,19.1525002,15.7927805480431,870.8,gliding
D329_014,2023-10-10 10:00:51.000,43.9318149,19.1525818,14.9374476550241,872.0,gliding
D329_014,2023-10-10 10:00:52.000,43.9317103,19.152663,13.3252292321418,875.2,gliding
D329_014,2023-10-10 10:00:53.000,43.9316244,19.1527388,11.3172022491598,877.4,gliding
D329_014,2023-10-10 10:00:54.000,43.9315389,19.1528105,11.1064576605621,875.1,gliding
D329_014,2023-10-10 10:00:55.000,43.9314419,19.1528995,12.9279235806279,871.0,gliding
D329_014,2023-10-10 10:00:56.000,43.9313271,19.1529917,14.7466552471124,867.9,gliding
D329_014,2023-10-10 10:00:57.000,43.9312022,19.1530765,15.4595717275858,866.8,gliding
D329_014,2023-10-10 10:00:58.000,43.9310797,19.1531632,15.2887768453308,866.0,gliding
D329_014,2023-10-10 10:00:59.000,43.9309558,19.1532611,15.8515207302395,864.3,gliding
D329_014,2023-10-10 10:01:00.000,43.9308276,19.1533569,16.188444906285,862.5,gliding
D329_014,2023-10-10 10:01:01.000,43.9307013,19.1534481,15.8294306721183,861.4,gliding
D329_014,2023-10-10 10:01:02.000,43.9305826,19.1535524,15.6196158855447,861.1,gliding
D329_014,2023-10-10 10:01:03.000,43.9304685,19.1536683,15.7198145388465,860.8,gliding
D329_014,2023-10-10 10:01:04.000,43.9303526,19.1537824,15.7979994697933,860.5,gliding
D329_014,2023-10-10 10:01:05.000,43.9302369,19.1538945,15.687675779569,861.2,gliding
D329_014,2023-10-10 10:01:06.000,43.9301351,19.1540094,14.5876330243584,863.3,gliding
D329_014,2023-10-10 10:01:07.000,43.9300504,19.1541166,12.7436338453112,865.0,linear_soaring
D329_014,2023-10-10 10:01:08.000,43.9299625,19.1542128,12.4451192862721,865.2,linear_soaring
D329_014,2023-10-10 10:01:09.000,43.9298607,19.1543114,13.8015252994916,863.4,linear_soaring
D329_014,2023-10-10 10:01:10.000,43.9297545,19.1544226,14.7902328641968,860.9,linear_soaring
D329_014,2023-10-10 10:01:11.000,43.9296489,19.1545453,15.3111155783643,860.1,linear_soaring
D329_014,2023-10-10 10:01:12.000,43.9295362,19.1546462,14.9108650515585,862.3,linear_soaring
D329_014,2023-10-10 10:01:13.000,43.9294216,19.1547049,13.5823665428696,866.1,linear_soaring
D329_014,2023-10-10 10:01:14.000,43.9293194,19.1547477,11.8697746129286,869.2,shallow_circular_soaring
D329_014,2023-10-10 10:01:15.000,43.9292242,19.1547838,10.9734373736004,870.8,shallow_circular_soaring
D329_014,2023-10-10 10:01:16.000,43.929126,19.1547991,10.9878872631217,871.5,shallow_circular_soaring
D329_014,2023-10-10 10:01:17.000,43.9290233,19.1547916,11.435520740239,873.1,shallow_circular_soaring
D329_014,2023-10-10 10:01:18.000,43.9289227,19.1547643,11.3978685630039,875.1,gliding
D329_014,2023-10-10 10:01:19.000,43.928825,19.1547476,10.9457712375435,875.7,gliding
D329_014,2023-10-10 10:01:20.000,43.9287452,19.1547872,9.42304306459248,874.0,gliding
D329_014,2023-10-10 10:01:21.000,43.9287062,19.1548792,8.54917282914537,871.5,gliding
